CNetID;  Niveau 1;Niveau 2;Niveau 3
0.43.0.0.0;Attracties;;
0.41.0.0.0;Thema- en Pretparken;;
0.32.0.0.0;Vliegmeetings en Vlootparades ;;
0.1.0.0.0;Collecties;;
0.3.0.0.0;Educatieve Activiteiten ;;
0.3.1.0.0;Cursussen en Workshops;;
0.3.2.0.0;Lezingen;;
0.3.3.0.0;Congressen, Debatten, Symposia, en Studiedagen;;
0.3.4.0.0;Andere;;
0.44.0.0.0;Evenementen;;
0.6.0.0.0;Beurzen;;
0.36.0.0.0;Braderieën  ;;
0.45.0.0.0;Happening;;
0.31.0.0.0;Herdenkingen en Wijdingen;;
0.28.0.0.0;Kermissen en Foren;;
0.30.0.0.0;Klank –en Lichtspelen
0.37.0.0.0;Markten 
0.9.0.0.0;Stoeten en Processies
0.29.0.0.0;Vuurwerken
0.19.0.0.0;Wedstrijden en Concours 
0.46.0.0.0;Excursies
0.7.0.0.0;Excursies, Groepsbezoeken, en Reizen
0.35.0.0.0;Rondritten
0.33.0.0.0;Rondvaarten 
0.34.0.0.0;Rondvluchten 
0.17.0.0.0;Routes (wandelingen, fietstochten)
0.8.0.0.0;Feesten
0.5.0.0.0;Festivals
0.47.0.0.0;In de Media
0.22.0.0.0;Internet
0.23.0.0.0;Kranten
0.21.0.0.0;Radio-uitzendingen
0.20.0.0.0;Televisie-uitzendingen 
0.24.0.0.0;Tijdschriften
0.48.0.0.0;Monumenten en landschappen
0.14.0.0.0;Monumenten en bouwwerken
0.14.1.0.0;Religieuze bouwwerken
0.14.2.0.0;Wereldlijke bouwwerken
0.14.3.0.0;Standbeelden en gedenktekens
0.14.4.0.0;Kasteel
0.14.5.0.0;Fort
0.14.6.0.0;Kapel
0.14.7.0.0;Kerk
0.14.8.0.0;Molen
0.14.9.0.0;Historisch huis
0.14.10.0.0;Hoeve
0.14.11.0.0;Industriële site
0.14.12.0.0;Prehistorische site
0.14.13.0.0;Archeologische site
0.15.0.0.0;Landschappen en natuurreservaten
0.16.0.0.0;Tuinen en Parken
0.0.0.0.0;Tentoonstellingen
0.49.0.0.0;Uitgaan
0.26.0.0.0;Bals, Fuiven, en Nightlife
0.27.0.0.0;Kroegentochten
0.39.0.0.0;Uitgaan, Eten, en Drinken
0.50.0.0.0;Varia
0.50.15.0.0;Administratieve of bestuurlijke activiteiten
0.50.15.1.0;Buurtraad
0.50.15.2.0;Communicatieraad
0.50.15.3.0;Fietsregistratie
0.50.15.4.0;Gemeenteraad
0.50.15.5.0;Gezondheidsraad
0.50.15.6.0;Hoorzitting
0.50.15.7.0;Infovergadering
0.50.15.8.0;Jumelage-activiteit
0.50.15.9.0;Middenstandsraad
0.50.15.10.0;Mondiale raad
0.50.15.11.0;OCMW-raad
0.50.15.12.0;Ontvangst
0.50.15.13.0;Plechtigheid
0.50.15.14.0;Seniorenraad
0.42.0.0.0;Andere aanbodsvormen
0.12.0.0.0;Info –en Opendeurdagen
0.50.1.0.0;Persconferenties
0.18.0.0.0;Projecten
0.13.0.0.0;Veilingen, Kunsthandel en Kunstuitleen 
0.38.0.0.0;Vergaderingen
0.40.0.0.0;Verhuur en Uitleen
0.50.2.0.0;Viering
0.50.16.0.0;Week Van De Amateurkunsten (WAK)
0.2.0.0.0;Voorstellingen (concert, optreden, vertoning,…)
0.50.3.0.0;Avant-première
0.50.4.0.0;Concert
0.25.0.0.0;Dia-voorstellingen
0.50.5.0.0;Demonstratie
0.50.6.0.0;Filmvoorstelling
0.50.6.1.0;avant-première
0.50.6.2.0;matinee
0.50.6.3.0;première
0.50.6.4.0;preview
0.50.6.5.0;slotvoorstelling
0.4.0.0.0;Literaire voordrachten
0.50.7.0.0;Matinee
0.50.8.0.0;Performance
0.50.9.0.0;Première
0.50.10.0.0;Preview
0.50.11.0.0;Repetitie
0.11.0.0.0;Signeersessies
0.50.12.0.0;Slotvoorstelling
0.10.0.0.0;Straatacts
0.50.13.0.0;Vrij podium
0.50.14.0.0;Work-in-progress
0.51.0.0.0;Type aanbod onbepaald
0.52.0.0.0;De Week van de Smaak
0.52.1.0.0;Artistieke activiteiten 
0.52.2.0.0;Culinair erfgoed, tentoonstellingen
0.52.3.0.0;Diversiteit in smaken
0.52.4.0.0;Educatieve activiteiten, lezingen, studiedagen
0.52.5.0.0;Land van de Smaak: Zwitserland
0.52.6.0.0;Literaire activiteiten
0.52.7.0.0;Opendeur, rondleidingen
0.52.8.0.0;Proeven, kooklessen
0.52.9.0.0;Product in de kijker
0.52.10.0.0;Smaak op school (activiteiten onderwijs)
0.52.11.0.0;Stad van de Smaak: Hasselt
0.52.12.0.0;Uit eten 
0.52.13.0.0;Varia, andere activiteiten
