CNetID;Niveau_1;Synoniemen
10.0.0.0.0;Gespecialiseerde startpunten, portalen en Cultuuragenda’s;Cultuuragenda, agenda
10.2.0.0.0;Algemene Startpunten, Portalen, en Cultuuragenda’s;Startpunt, Portaal, linkenpagina
10.3.0.0.0;Virtuele tentoonstellingen;Virtuele tentoonstelling
10.4.0.0.0;Webart;
10.5.0.0.0;Forums, Communities, Chatten;Forum, community
10.6.0.0.0;Weblogs;Blog, Weblog
10.7.0.0.0;E-commerce en Veilingsites;Veilingsite
10.8.0.0.0;Nieuwsen media-sites;Mediasite
10.9.0.0.0;Multimediasites;Multimediasite
10.10.0.0.0;Educatieve sites;Educatieve site
10.11.0.0.0;Fansites;
10.12.0.0.0;Officiële sites;
10.13.0.0.0;Overheidssites;
10.14.0.0.0;Webcatalogi;
10.15.0.0.0;Andere types linken;
10.16.0.0.0;Type link onbepaald
