CNetID;Niveau_1;Synoniemen
3.0.0.0.0;Giftshop;
3.1.0.0.0;Bibliotheek;
3.2.0.0.0;Archief of Documentatiecentrum;
3.3.0.0.0;Eetgelegenheid;Restaurant, eetcafé
3.4.0.0.0;Drankgelegenheid;
3.5.0.0.0;Autoparking;
3.6.0.0.0;Busparking;
3.7.0.0.0;Openbaar vervoer;
3.8.0.0.0;Babyof Luierhoek;
3.9.0.0.0;Kinderopvang;
3.10.0.0.0;Rolstoel te huur;
3.11.0.0.0;Toiletten voor rolstoelgebruikers;
3.12.0.0.0;Toegangsfaciliteiten voor rolstoelgebruikers;
3.13.0.0.0;Blindenvoorzieningen;
3.14.0.0.0;Educatieve dienstverlening;
3.15.0.0.0;Audiogids;
3.16.0.0.0;Gids;
3.17.0.0.0;Faciliteiten voor Doven en Gehoorgestoorden;
3.18.0.0.0;Multimedia;
3.19.0.0.0;Kopieerfaciliteiten;
3.20.0.0.0;Uitleenfaciliteiten ;Uitleendienst, Uitleenfaciliteit
