CNetID;Niveau_1;Synoniemen
9.19.0.0.0;Andere types van persoon;
9.0.0.0.0;Organisatoren;
9.1.0.0.0;Reservatoren ;
9.18.0.0.0;Uitvoerders;
9.12.0.0.0;Acteurs ;
9.20.0.0.0;Architect;
9.2.0.0.0;Auteurs;
9.4.0.0.0;Beeldende kunstenaars;Beeldend kunstenaar, Fotograaf, schilder, beeldhouwer, graficus, tekenaar
9.8.0.0.0;Choreografen ;
9.3.0.0.0;Componisten;
9.13.0.0.0;Curatoren;Directeur, Tentoonstellingsdirecteur, Beheerder,  Tentoonstellingsbeheerder, Conservator, bewaarder
9.9.0.0.0;Dansers;
9.7.0.0.0;Dirigenten;
9.14.0.0.0;dj;diskjockey
9.15.0.0.0;docent;cursusleider, lesgever, begeleider
9.11.0.0.0;Muzikanten;
9.16.0.0.0;Vormgever;Designer, ontwerper
9.5.0.0.0;Producenten;
9.6.0.0.0;Regisseurs;
9.17.0.0.0;Spreker;
9.10.0.0.0;Zangers;
9.18.0.0.0;Type persoon onbepaald;
