naam;postcode;gemeente;klasse;CultuurDatabank ID (GUID);categorie;;subcategorie;effectief gebruik;datum controle;opmerking opvolging;opmerking invoer;contactpersoon;contactpersoon info;GHGP organisatie id;provincie;adres;actieve partner
Africalia Festival;;{ONBEKEND};2;590A5F50-06A5-07AE-64C0030B8F827414;Actoren;;Festival;1. ROOD (nooit reactie/werken niet mee);;;;;;1832175571;-; ;False
Actors Studio/Styx;1000;BRUSSEL;1;331F0285-AE31-85DE-D234DABA2962FBEB;Actoren;;Filmcomplexen;4. GEEL (OK na controle);;;;;;395946951;BRUSSEL HOOFDSTEDELIJK;Korte Beenhouwersstraat 16;False
Ancienne Belgique;1000;BRUSSEL;1;5FEE75FB-A7F3-55F9-899125D4ACF02CE8;Actoren;;Andere;5. GRIJS (IIS, evt. in de toekomst);2/08/2006;;;;;-1252778802;BRUSSEL HOOFDSTEDELIJK;Anspachlaan 110;False
Arenberg Galeries;1000;BRUSSEL;1;33D2CBFD-A396-D99C-D42581315CA6AB07;Actoren;;Filmcomplexen;4. GEEL (OK na controle);;;;;;522855479;BRUSSEL HOOFDSTEDELIJK;Koninginnegalerij 26;False
Aventure;1000;BRUSSEL;1;3371B30A-C53A-7451-A0870F2727FA3BA2;Actoren;;Filmcomplexen;4. GEEL (OK na controle);;;;;;-1376507272;BRUSSEL HOOFDSTEDELIJK;Centrumgalerij 57;False
Cinema Nova;1000;BRUSSEL;1;A235FD06-D1D9-3D6A-7289EB18017F621F;Actoren;;Filmcomplexen;4. GEEL (OK na controle);14/07/2006;;;;;1533481601;BRUSSEL HOOFDSTEDELIJK;Arenbergstraat 3;False
Cinema Nova;1000;BRUSSEL;1;5FEE7B07-B69B-4B8D-D4625C4AEB6127CC;Actoren;;Filmcomplexen;4. GEEL (OK na controle);14/07/2006;;;;;1533481601;BRUSSEL HOOFDSTEDELIJK;Arenbergstraat 3;False
De Munt;1000;BRUSSEL;1;5FEE7803-E9A6-ACA9-90C2A6251FA03CA5;Actoren;;Andere;5. GRIJS (IIS, evt. in de toekomst);9/08/2006;;;;;-1663398502;BRUSSEL HOOFDSTEDELIJK;Muntplein z/n;False
Festival van Vlaanderen Internationaal Brussel-Europa;1000;BRUSSEL;1;E884FCD9-AA3A-A9FB-C3FCE2D1404CA51D;Actoren;;Andere;4. GEEL (OK na controle);;;;;;639216881;BRUSSEL HOOFDSTEDELIJK;Ravensteinstraat 60;False
Festival van Vlaanderen Internationaal Brussel-Europa;1000;BRUSSEL;1;E884FCD9-AA3A-A9FB-C3FCE2D1404CA51D;Actoren;;Festival;4. GEEL (OK na controle);;;;;;639216881;BRUSSEL HOOFDSTEDELIJK;Ravensteinstraat 60;False
